# n, x, eps, P, P_e, P_std
6.5000000000e-02 2.4933798135e-02 6.1508618925e+01 2.7954164479e-01 2.9052298119e-02 4.9946830296e-02
6.6000000000e-02 2.5223901007e-02 6.2457878547e+01 2.8760521963e-01 3.0110646041e-02 5.2410519839e-02
6.7000000000e-02 2.5514092755e-02 6.3407206673e+01 2.9584764528e-01 3.1192638415e-02 5.4957389722e-02
6.8000000000e-02 2.5804390463e-02 6.4356603544e+01 3.0427302393e-01 3.2298517696e-02 5.7589113782e-02
6.9000000000e-02 2.6094808018e-02 6.5306069446e+01 3.1288547888e-01 3.3428522878e-02 6.0307284374e-02
7.0000000000e-02 2.6385356476e-02 6.6255604711e+01 3.2168915151e-01 3.4582889591e-02 6.3113499412e-02
7.1000000000e-02 2.6676044011e-02 6.7205209715e+01 3.3068819824e-01 3.5761849501e-02 6.6009409143e-02
7.2000000000e-02 2.6966876126e-02 6.8154884878e+01 3.3988679295e-01 3.6965630166e-02 6.8996617674e-02
7.3000000000e-02 2.7257855839e-02 6.9104630662e+01 3.4928912111e-01 3.8194454889e-02 7.2076896068e-02
7.4000000000e-02 2.7548983706e-02 7.0054447578e+01 3.5889938444e-01 3.9448542268e-02 7.5251850889e-02
7.5000000000e-02 2.7840258033e-02 7.1004336174e+01 3.6872179278e-01 4.0728106140e-02 7.8523132307e-02
7.6000000000e-02 2.8131674905e-02 7.1954297043e+01 3.7876057142e-01 4.2033355168e-02 8.1892454770e-02
7.7000000000e-02 2.8423228348e-02 7.2904330819e+01 3.8901995290e-01 4.3364492712e-02 8.5361540304e-02
7.8000000000e-02 2.8714910438e-02 7.3854438181e+01 3.9950418162e-01 4.4721716623e-02 8.8932124633e-02
7.9000000000e-02 2.9006711370e-02 7.4804619848e+01 4.1021750883e-01 4.6105218949e-02 9.2605889901e-02
8.0000000000e-02 2.9298619602e-02 7.5754876578e+01 4.2116419637e-01 4.7515185827e-02 9.6384639596e-02
8.1000000000e-02 2.9590621805e-02 7.6705209175e+01 4.3234851289e-01 4.8951796977e-02 1.0027007177e-01
8.2000000000e-02 2.9882703203e-02 7.7655618482e+01 4.4377473306e-01 5.0415226036e-02 1.0426401455e-01
8.3000000000e-02 3.0174847341e-02 7.8606105382e+01 4.5544714203e-01 5.1905639680e-02 1.0836816148e-01
8.4000000000e-02 3.0467036482e-02 7.9556670801e+01 4.6737002820e-01 5.3423198130e-02 1.1258443548e-01
8.5000000000e-02 3.0759251405e-02 8.0507315702e+01 4.7954768805e-01 5.4968054341e-02 1.1691456004e-01
8.6000000000e-02 3.1051471678e-02 8.1458041092e+01 4.9198442275e-01 5.6540354272e-02 1.2136032406e-01
8.7000000000e-02 3.1343675621e-02 8.2408848019e+01 5.0468453934e-01 5.8140236480e-02 1.2592364008e-01
8.8000000000e-02 3.1635840405e-02 8.3359737564e+01 5.1765235222e-01 5.9767832006e-02 1.3060637092e-01
8.9000000000e-02 3.1927942126e-02 8.4310710858e+01 5.3089217709e-01 6.1423264252e-02 1.3541033373e-01
9.0000000000e-02 3.2219955849e-02 8.5261769065e+01 5.4440833793e-01 6.3106648761e-02 1.4033734731e-01
9.1000000000e-02 3.2511855649e-02 8.6212913388e+01 5.5820516212e-01 6.4818093045e-02 1.4538942615e-01
9.2000000000e-02 3.2803614739e-02 8.7164145080e+01 5.7228698217e-01 6.6557696595e-02 1.5056835289e-01
9.3000000000e-02 3.3095205456e-02 8.8115465418e+01 5.8665813441e-01 6.8325550584e-02 1.5587614359e-01
9.4000000000e-02 3.3386599315e-02 8.9066875731e+01 6.0132295994e-01 7.0121737724e-02 1.6131471764e-01
9.5000000000e-02 3.3677767143e-02 9.0018377381e+01 6.1628580434e-01 7.1946332374e-02 1.6688596004e-01
9.6000000000e-02 3.3968678970e-02 9.0969971770e+01 6.3155101675e-01 7.3799399978e-02 1.7259191471e-01
9.7000000000e-02 3.4259304302e-02 9.1921660342e+01 6.4712294830e-01 7.5680997586e-02 1.7843445752e-01
9.8000000000e-02 3.4549611928e-02 9.2873444574e+01 6.6300595802e-01 7.7591173075e-02 1.8441571621e-01
9.9000000000e-02 3.4839570100e-02 9.3825325989e+01 6.7920440484e-01 7.9529965418e-02 1.9053754162e-01
1.0000000000e-01 3.5129146621e-02 9.4777306144e+01 6.9572265289e-01 8.1497404758e-02 1.9680209309e-01
1.0100000000e-01 3.5418308725e-02 9.5729386636e+01 7.1256506957e-01 8.3493511815e-02 2.0321133445e-01
1.0200000000e-01 3.5707023255e-02 9.6681569098e+01 7.2973602516e-01 8.5518298235e-02 2.0976738021e-01
1.0300000000e-01 3.5995256636e-02 9.7633855205e+01 7.4723989156e-01 8.7571766306e-02 2.1647211998e-01
1.0400000000e-01 3.6282974954e-02 9.8586246667e+01 7.6508104473e-01 8.9653909032e-02 2.2332787299e-01
1.0500000000e-01 3.6570143905e-02 9.9538745237e+01 7.8326386433e-01 9.1764709777e-02 2.3033669507e-01
1.0600000000e-01 3.6856728958e-02 1.0049135270e+02 8.0179272855e-01 9.3904142646e-02 2.3750048994e-01
1.0700000000e-01 3.7142695340e-02 1.0144407087e+02 8.2067202115e-01 9.6072172259e-02 2.4482167315e-01
1.0800000000e-01 3.7428007967e-02 1.0239690163e+02 8.3990612738e-01 9.8268753394e-02 2.5230219462e-01
1.0900000000e-01 3.7712631593e-02 1.0334984686e+02 8.5949943155e-01 1.0049383131e-01 2.5994431677e-01
1.1000000000e-01 3.7996530847e-02 1.0430290850e+02 8.7945631892e-01 1.0274734178e-01 2.6775018301e-01
1.1100000000e-01 3.8279670159e-02 1.0525608854e+02 8.9978118040e-01 1.0502921068e-01 2.7572186342e-01
1.1200000000e-01 3.8562013895e-02 1.0620938896e+02 9.2047840006e-01 1.0733935436e-01 2.8386181707e-01
1.1300000000e-01 3.8843526319e-02 1.0716281182e+02 9.4155236960e-01 1.0967767940e-01 2.9217213838e-01
1.1400000000e-01 3.9124171619e-02 1.0811635921e+02 9.6300747253e-01 1.1204408259e-01 3.0065511856e-01
1.1500000000e-01 3.9403913981e-02 1.0907003324e+02 9.8484809759e-01 1.1443845111e-01 3.0931304472e-01
1.1600000000e-01 3.9682717609e-02 1.1002383605e+02 1.0070786294e+00 1.1686066254e-01 3.1814799074e-01
1.1700000000e-01 3.9960546656e-02 1.1097776985e+02 1.0297034501e+00 1.1931058450e-01 3.2716247425e-01
1.1800000000e-01 4.0237365350e-02 1.1193183684e+02 1.0527269412e+00 1.2178807505e-01 3.3635883713e-01
1.1900000000e-01 4.0513137951e-02 1.1288603929e+02 1.0761534802e+00 1.2429298249e-01 3.4573915089e-01
1.2000000000e-01 4.0787828891e-02 1.1384037950e+02 1.0999874422e+00 1.2682514582e-01 3.5530606261e-01
1.2100000000e-01 4.1061402630e-02 1.1479485977e+02 1.1242331954e+00 1.2938439416e-01 3.6506179106e-01
1.2200000000e-01 4.1333823701e-02 1.1574948248e+02 1.1488951057e+00 1.3197054685e-01 3.7500885208e-01
1.2300000000e-01 4.1605056925e-02 1.1670425002e+02 1.1739775340e+00 1.3458341432e-01 3.8514946872e-01
1.2400000000e-01 4.1875067154e-02 1.1765916480e+02 1.1994848301e+00 1.3722279697e-01 3.9548599977e-01
1.2500000000e-01 4.2143819460e-02 1.1861422929e+02 1.2254213426e+00 1.3988848599e-01 4.0602120045e-01
1.2600000000e-01 4.2411279099e-02 1.1956944597e+02 1.2517914093e+00 1.4258026311e-01 4.1675703381e-01
1.2700000000e-01 4.2677411594e-02 1.2052481737e+02 1.2785993599e+00 1.4529790107e-01 4.2769676335e-01
1.2800000000e-01 4.2942182609e-02 1.2148034604e+02 1.3058495146e+00 1.4804116294e-01 4.3884228318e-01
1.2900000000e-01 4.3205558096e-02 1.2243603456e+02 1.3335461839e+00 1.5080980288e-01 4.5019584298e-01
1.3000000000e-01 4.3467504255e-02 1.2339188553e+02 1.3616936672e+00 1.5360356590e-01 4.6176077532e-01
1.3100000000e-01 4.3727987576e-02 1.2434790161e+02 1.3902962498e+00 1.5642218811e-01 4.7353919065e-01
1.3200000000e-01 4.3986974801e-02 1.2530408547e+02 1.4193582078e+00 1.5926539656e-01 4.8553343142e-01
1.3300000000e-01 4.4244432962e-02 1.2626043980e+02 1.4488837993e+00 1.6213290944e-01 4.9774663464e-01
1.3400000000e-01 4.4500329428e-02 1.2721696733e+02 1.4788772691e+00 1.6502443633e-01 5.1018092054e-01
1.3500000000e-01 4.4754631866e-02 1.2817367083e+02 1.5093428489e+00 1.6793967808e-01 5.2283926491e-01
1.3600000000e-01 4.5007308308e-02 1.2913055306e+02 1.5402847473e+00 1.7087832717e-01 5.3572392333e-01
1.3700000000e-01 4.5258327073e-02 1.3008761685e+02 1.5717071599e+00 1.7384006736e-01 5.4883780269e-01
1.3800000000e-01 4.5507656884e-02 1.3104486503e+02 1.6036142617e+00 1.7682457436e-01 5.6218355236e-01
1.3900000000e-01 4.5755266792e-02 1.3200230046e+02 1.6360102082e+00 1.7983151551e-01 5.7576389339e-01
1.4000000000e-01 4.6001126216e-02 1.3295992603e+02 1.6688991306e+00 1.8286055000e-01 5.8958163989e-01
1.4100000000e-01 4.6245204979e-02 1.3391774465e+02 1.7022851416e+00 1.8591132919e-01 6.0363978074e-01
1.4200000000e-01 4.6487473290e-02 1.3487575925e+02 1.7361723271e+00 1.8898349660e-01 6.1794029872e-01
1.4300000000e-01 4.6727901740e-02 1.3583397278e+02 1.7705647492e+00 1.9207668791e-01 6.3248628433e-01
1.4400000000e-01 4.6966461341e-02 1.3679238825e+02 1.8054664456e+00 1.9519053130e-01 6.4728129344e-01
1.4500000000e-01 4.7203123458e-02 1.3775100863e+02 1.8408814250e+00 1.9832464716e-01 6.6232673006e-01
1.4600000000e-01 4.7437859963e-02 1.3870983697e+02 1.8768136675e+00 2.0147864906e-01 6.7762662455e-01
1.4700000000e-01 4.7670643094e-02 1.3966887629e+02 1.9132671243e+00 2.0465214300e-01 6.9318331607e-01
1.4800000000e-01 4.7901445558e-02 1.4062812968e+02 1.9502457137e+00 2.0784472818e-01 7.0899984959e-01
1.4900000000e-01 4.8130240434e-02 1.4158760020e+02 1.9877533266e+00 2.1105599652e-01 7.2507878861e-01
1.5000000000e-01 4.8357001313e-02 1.4254729097e+02 2.0257938154e+00 2.1428553353e-01 7.4142380837e-01
1.5100000000e-01 4.8581702186e-02 1.4350720510e+02 2.0643710000e+00 2.1753291787e-01 7.5803689479e-01
1.5200000000e-01 4.8804317516e-02 1.4446734574e+02 2.1034886648e+00 2.2079772181e-01 7.7492150183e-01
1.5300000000e-01 4.9024822187e-02 1.4542771602e+02 2.1431505530e+00 2.2407951110e-01 7.9208102124e-01
1.5400000000e-01 4.9243191650e-02 1.4638831914e+02 2.1833603749e+00 2.2737784597e-01 8.0951793234e-01
1.5500000000e-01 4.9459401653e-02 1.4734915826e+02 2.2241217961e+00 2.3069227961e-01 8.2723540035e-01
1.5600000000e-01 4.9673428534e-02 1.4831023660e+02 2.2654384439e+00 2.3402236008e-01 8.4523579393e-01
1.5700000000e-01 4.9885249029e-02 1.4927155736e+02 2.3073139026e+00 2.3736762933e-01 8.6352320182e-01
1.5800000000e-01 5.0094840442e-02 1.5023312377e+02 2.3497517100e+00 2.4072762431e-01 8.8210062236e-01
1.5900000000e-01 5.0302180429e-02 1.5119493908e+02 2.3927553609e+00 2.4410187585e-01 9.0096994021e-01
1.6000000000e-01 5.0507247197e-02 1.5215700653e+02 2.4363283030e+00 2.4748990996e-01 9.2013625078e-01
1.6100000000e-01 5.0710019458e-02 1.5311932937e+02 2.4804739351e+00 2.5089124780e-01 9.3960002484e-01
1.6200000000e-01 5.0910476294e-02 1.5408191090e+02 2.5251956097e+00 2.5430540489e-01 9.5936709379e-01
1.6300000000e-01 5.1108597397e-02 1.5504475438e+02 2.5704966263e+00 2.5773189283e-01 9.7943951785e-01
1.6400000000e-01 5.1304362837e-02 1.5600786310e+02 2.6163802306e+00 2.6117021797e-01 9.9982032462e-01
1.6500000000e-01 5.1497753239e-02 1.5697124037e+02 2.6628496190e+00 2.6461988268e-01 1.0205130846e+00
1.6600000000e-01 5.1688749674e-02 1.5793488949e+02 2.7099079326e+00 2.6808038487e-01 1.0415208089e+00
1.6700000000e-01 5.1877333732e-02 1.5889881377e+02 2.7575582543e+00 2.7155121855e-01 1.0628466525e+00
1.6800000000e-01 5.2063487429e-02 1.5986301651e+02 2.8058036118e+00 2.7503187344e-01 1.0844943207e+00
1.6900000000e-01 5.2247193339e-02 1.6082750106e+02 2.8546469740e+00 2.7852183599e-01 1.1064667285e+00
1.7000000000e-01 5.2428434459e-02 1.6179227072e+02 2.9040912506e+00 2.8202058865e-01 1.1287681537e+00
1.7100000000e-01 5.2607194327e-02 1.6275732884e+02 2.9541392896e+00 2.8552761084e-01 1.1514000010e+00
1.7200000000e-01 5.2783456939e-02 1.6372267874e+02 3.0047938755e+00 2.8904237854e-01 1.1743672995e+00
1.7300000000e-01 5.2957206738e-02 1.6468832376e+02 3.0560577328e+00 2.9256436442e-01 1.1976724226e+00
1.7400000000e-01 5.3128428715e-02 1.6565426723e+02 3.1079335186e+00 2.9609303866e-01 1.2213200336e+00
1.7500000000e-01 5.3297108324e-02 1.6662051247e+02 3.1604238233e+00 2.9962786861e-01 1.2453119768e+00
1.7600000000e-01 5.3463231457e-02 1.6758706284e+02 3.2135311746e+00 3.0316831868e-01 1.2696533171e+00
1.7700000000e-01 5.3626784547e-02 1.6855392166e+02 3.2672580253e+00 3.0671385137e-01 1.2943467025e+00
1.7800000000e-01 5.3787754482e-02 1.6952109225e+02 3.3216067646e+00 3.1026392676e-01 1.3193956189e+00
1.7900000000e-01 5.3946128571e-02 1.7048857796e+02 3.3765797083e+00 3.1381800242e-01 1.3448030535e+00
1.8000000000e-01 5.4101894703e-02 1.7145638210e+02 3.4321791009e+00 3.1737553483e-01 1.3705736833e+00
1.8100000000e-01 5.4255041159e-02 1.7242450799e+02 3.4884071121e+00 3.2093597811e-01 1.3967104316e+00
1.8200000000e-01 5.4405556721e-02 1.7339295895e+02 3.5452658405e+00 3.2449878503e-01 1.4232166976e+00
1.8300000000e-01 5.4553430647e-02 1.7436173829e+02 3.6027573098e+00 3.2806340702e-01 1.4500963170e+00
1.8400000000e-01 5.4698652651e-02 1.7533084930e+02 3.6608834622e+00 3.3162929418e-01 1.4773529527e+00
1.8500000000e-01 5.4841212870e-02 1.7630029529e+02 3.7196461691e+00 3.3519589519e-01 1.5049906619e+00
1.8600000000e-01 5.4981101968e-02 1.7727007954e+02 3.7790472217e+00 3.3876265833e-01 1.5330120910e+00
1.8700000000e-01 5.5118311044e-02 1.7824020533e+02 3.8390883291e+00 3.4232903096e-01 1.5614219909e+00
1.8800000000e-01 5.5252831642e-02 1.7921067593e+02 3.8997711229e+00 3.4589445969e-01 1.5902225501e+00
1.8900000000e-01 5.5384655763e-02 1.8018149459e+02 3.9610971526e+00 3.4945839078e-01 1.6194193188e+00
1.9000000000e-01 5.5513775861e-02 1.8115266457e+02 4.0230678861e+00 3.5302027021e-01 1.6490146028e+00
1.9100000000e-01 5.5640184844e-02 1.8212418911e+02 4.0856847066e+00 3.5657954385e-01 1.6790131234e+00
1.9200000000e-01 5.5763876040e-02 1.8309607142e+02 4.1489489148e+00 3.6013565746e-01 1.7094187536e+00
1.9300000000e-01 5.5884843247e-02 1.8406831471e+02 4.2128617279e+00 3.6368805720e-01 1.7402332396e+00
1.9400000000e-01 5.6003080668e-02 1.8504092219e+02 4.2774242736e+00 3.6723618926e-01 1.7714633932e+00
1.9500000000e-01 5.6118582979e-02 1.8601389703e+02 4.3426375955e+00 3.7077950068e-01 1.8031109839e+00
1.9600000000e-01 5.6231345241e-02 1.8698724240e+02 4.4085026498e+00 3.7431743876e-01 1.8351807160e+00
1.9700000000e-01 5.6341362988e-02 1.8796096145e+02 4.4750203055e+00 3.7784945194e-01 1.8676768248e+00
1.9800000000e-01 5.6448632135e-02 1.8893505732e+02 4.5421913393e+00 3.8137498924e-01 1.9006022797e+00
1.9900000000e-01 5.6553149052e-02 1.8990953312e+02 4.6100164427e+00 3.8489350109e-01 1.9339606470e+00
2.0000000000e-01 5.6654910469e-02 1.9088439196e+02 4.6784962142e+00 3.8840443861e-01 1.9677572894e+00
2.0100000000e-01 5.6753913608e-02 1.9185963691e+02 4.7476311624e+00 3.9190725500e-01 2.0019957076e+00
2.0200000000e-01 5.6850156048e-02 1.9283527104e+02 4.8174217056e+00 3.9540140453e-01 2.0366799095e+00
2.0300000000e-01 5.6943635755e-02 1.9381129738e+02 4.8878681671e+00 3.9888634292e-01 2.0718124160e+00
2.0400000000e-01 5.7034351130e-02 1.9478771897e+02 4.9589707796e+00 4.0236152801e-01 2.1073997584e+00
2.0500000000e-01 5.7122300982e-02 1.9576453879e+02 5.0307296823e+00 4.0582641964e-01 2.1434437806e+00
2.0600000000e-01 5.7207484449e-02 1.9674175982e+02 5.1031449222e+00 4.0928047916e-01 2.1799509554e+00
2.0700000000e-01 5.7289901128e-02 1.9771938503e+02 5.1762164470e+00 4.1272317068e-01 2.2169214247e+00
2.0800000000e-01 5.7369550972e-02 1.9869741735e+02 5.2499441157e+00 4.1615396043e-01 2.2543638174e+00
2.0900000000e-01 5.7446434273e-02 1.9967585968e+02 5.3243276893e+00 4.1957231668e-01 2.2922795057e+00
2.1000000000e-01 5.7520551771e-02 2.0065471492e+02 5.3993668330e+00 4.2297771091e-01 2.3306735142e+00
2.1100000000e-01 5.7591904517e-02 2.0163398591e+02 5.4750611183e+00 4.2636961678e-01 2.3695486435e+00
2.1200000000e-01 5.7660493959e-02 2.0261367551e+02 5.5514100179e+00 4.2974751098e-01 2.4089111740e+00
2.1300000000e-01 5.7726321908e-02 2.0359378649e+02 5.6284129085e+00 4.3311087319e-01 2.4487637262e+00
2.1400000000e-01 5.7789390525e-02 2.0457432168e+02 5.7060690715e+00 4.3645918603e-01 2.4891120041e+00
2.1500000000e-01 5.7849702297e-02 2.0555528381e+02 5.7843776911e+00 4.3979193502e-01 2.5299592646e+00
2.1600000000e-01 5.7907260126e-02 2.0653667560e+02 5.8633378511e+00 4.4310860963e-01 2.5713091819e+00
2.1700000000e-01 5.7962067199e-02 2.0751849978e+02 5.9429485420e+00 4.4640870208e-01 2.6131670951e+00
2.1800000000e-01 5.8014127080e-02 2.0850075899e+02 6.0232086557e+00 4.4969170850e-01 2.6555377434e+00
2.1900000000e-01 5.8063443648e-02 2.0948345589e+02 6.1041169812e+00 4.5295712840e-01 2.6984225534e+00
2.2000000000e-01 5.8110021121e-02 2.1046659309e+02 6.1856722188e+00 4.5620446510e-01 2.7418310731e+00
2.2100000000e-01 5.8153864041e-02 2.1145017317e+02 6.2678729621e+00 4.5943322568e-01 2.7857627717e+00
2.2200000000e-01 5.8194977282e-02 2.1243419869e+02 6.3507177128e+00 4.6264292126e-01 2.8302233730e+00
2.2300000000e-01 5.8233366033e-02 2.1341867215e+02 6.4342048705e+00 4.6583306698e-01 2.8752175760e+00
2.2400000000e-01 5.8269035776e-02 2.1440359607e+02 6.5183327393e+00 4.6900318181e-01 2.9207511477e+00
2.2500000000e-01 5.8301992339e-02 2.1538897288e+02 6.6030995245e+00 4.7215278943e-01 2.9668251347e+00
2.2600000000e-01 5.8332241847e-02 2.1637480503e+02 6.6885033303e+00 4.7528141767e-01 3.0134476474e+00
2.2700000000e-01 5.8359790675e-02 2.1736109489e+02 6.7745421707e+00 4.7838859824e-01 3.0606211218e+00
2.2800000000e-01 5.8384645583e-02 2.1834784483e+02 6.8612139533e+00 4.8147386835e-01 3.1083493694e+00
2.2900000000e-01 5.8406813546e-02 2.1933505718e+02 6.9485164948e+00 4.8453676895e-01 3.1566407817e+00
2.3000000000e-01 5.8426301886e-02 2.2032273422e+02 7.0364475091e+00 4.8757684629e-01 3.2054938845e+00
2.3100000000e-01 5.8443118146e-02 2.2131087821e+02 7.1250046160e+00 4.9059365072e-01 3.2549182726e+00
